_id,name,salary,link,min_salary,max_salary,currency,source
5f84bd090f267e4e46937605,Backend-разработчик Python,"[""от "",""140 000"","" до "",""160 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39679111?query=python,140000,160000,руб.,hhru
5f84bd090f267e4e46937606,Разработчик на Python,"[""з/п не указана""]",https://hh.ru/vacancy/39162052?query=python,none,none,none,hhru
5f84bd090f267e4e46937607,Python-Разработчик (удаленно),"[""до "",""250 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39415818?query=python,none,none,none,hhru
5f84bd090f267e4e4693760b,Python (Django) разработчик,"[""от "",""100 000"","" до "",""150 000"","" "",""руб."","" до вычета налогов""]",https://hh.ru/vacancy/39722392?query=python,100000,150000,руб.,hhru
5f84bd090f267e4e4693760d,Старший разработчик Python,"[""от "",""200 000"","" до "",""250 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39388712?query=python,200000,250000,руб.,hhru
5f84bd090f267e4e4693760f,Python разработчик,"[""от "",""130 000"","" до "",""220 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/37486302?query=python,130000,220000,руб.,hhru
5f84bd090f267e4e46937610,Senior Python разработчик,"[""з/п не указана""]",https://hh.ru/vacancy/39247955?query=python,none,none,none,hhru
5f84bd090f267e4e46937611,Python-разработчик GUI,"[""от "",""180 000"","" до "",""220 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39525922?query=python,180000,220000,руб.,hhru
5f84bd090f267e4e46937612,Билд-инженер/Программист Python (Continuous Integration),"[""з/п не указана""]",https://hh.ru/vacancy/38766644?query=python,none,none,none,hhru
5f84bd090f267e4e46937614,Разработчик Python/Go,"[""з/п не указана""]",https://hh.ru/vacancy/39411148?query=python,none,none,none,hhru
5f84bd090f267e4e46937615,Data Scientist,"[""от "",""120 000"","" до "",""170 000"","" "",""руб."","" до вычета налогов""]",https://hh.ru/vacancy/39329785?query=python,120000,170000,руб.,hhru
5f84bd090f267e4e46937618,Middle/Senior Python разработчик,"[""з/п не указана""]",https://hh.ru/vacancy/39598288?query=python,none,none,none,hhru
5f84bd090f267e4e46937619,Python Developer (Odoo),"[""до "",""200 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39625393?query=python,none,none,none,hhru
5f84bd090f267e4e4693761a,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/35871016?query=python,none,none,none,hhru
5f84bd0a0f267e4e4693761c,Программист Python,"[""з/п не указана""]",https://hh.ru/vacancy/38827758?query=python,none,none,none,hhru
5f84bd0a0f267e4e4693761d,Pyth‎on Developer,"[""з/п не указана""]",https://hh.ru/vacancy/37430732?query=python,none,none,none,hhru
